Month,Year,Date,Ducks,Fish,Total,Predicted,Optimal_Ducks,Optimal_Fish,Optimal_Total,Optimal_Profit
J,2006.0,2006-01-31,25.0,71.0,96.0,False,400.0,80.0,480.0,2320.0
F,2006.0,2006-02-28,29.0,76.0,105.0,False,400.0,80.0,480.0,2320.0
M,2006.0,2006-03-31,29.0,73.0,102.0,False,400.0,80.0,480.0,2320.0
A,2006.0,2006-04-30,29.0,81.0,110.0,False,398.0,81.0,479.0,2314.0
M,2006.0,2006-05-31,32.0,83.0,115.0,False,396.0,83.0,479.0,2312.0
J,2006.0,2006-06-30,81.0,25.0,106.0,False,400.0,80.0,480.0,2320.0
J,2006.0,2006-07-31,89.0,35.0,124.0,False,400.0,80.0,480.0,2320.0
A,2006.0,2006-08-31,91.0,32.0,123.0,False,400.0,80.0,480.0,2320.0
S,2006.0,2006-09-30,87.0,25.0,112.0,False,400.0,80.0,480.0,2320.0
O,2006.0,2006-10-31,96.0,21.0,117.0,False,400.0,80.0,480.0,2320.0
N,2006.0,2006-11-30,51.0,113.0,164.0,False,358.0,113.0,471.0,2242.0
D,2006.0,2006-12-31,49.0,125.0,174.0,False,343.0,125.0,468.0,2215.0
J,2007.0,2007-01-31,34.0,90.0,124.0,False,387.0,90.0,477.0,2295.0
F,2007.0,2007-02-28,30.0,91.0,121.0,False,386.0,91.0,477.0,2294.0
M,2007.0,2007-03-31,30.0,90.0,120.0,False,387.0,90.0,477.0,2295.0
A,2007.0,2007-04-30,97.0,35.0,132.0,False,400.0,80.0,480.0,2320.0
M,2007.0,2007-05-31,96.0,34.0,130.0,False,400.0,80.0,480.0,2320.0
J,2007.0,2007-06-30,97.0,34.0,131.0,False,400.0,80.0,480.0,2320.0
J,2007.0,2007-07-31,105.0,43.0,148.0,False,400.0,80.0,480.0,2320.0
A,2007.0,2007-08-31,105.0,38.0,143.0,False,400.0,80.0,480.0,2320.0
S,2007.0,2007-09-30,43.0,119.0,162.0,False,351.0,119.0,470.0,2231.0
O,2007.0,2007-10-31,45.0,134.0,179.0,False,332.0,134.0,466.0,2196.0
N,2007.0,2007-11-30,58.0,139.0,197.0,False,326.0,139.0,465.0,2186.0
D,2007.0,2007-12-31,60.0,148.0,208.0,False,315.0,148.0,463.0,2167.0
J,2008.0,2008-01-31,37.0,103.0,140.0,False,371.0,103.0,474.0,2267.0
F,2008.0,2008-02-29,106.0,37.0,143.0,False,400.0,80.0,480.0,2320.0
M,2008.0,2008-03-31,103.0,34.0,137.0,False,400.0,80.0,480.0,2320.0
A,2008.0,2008-04-30,114.0,45.0,159.0,False,400.0,80.0,480.0,2320.0
M,2008.0,2008-05-31,117.0,40.0,157.0,False,400.0,80.0,480.0,2320.0
J,2008.0,2008-06-30,113.0,37.0,150.0,False,400.0,80.0,480.0,2320.0
J,2008.0,2008-07-31,48.0,129.0,177.0,False,338.0,129.0,467.0,2206.0
A,2008.0,2008-08-31,45.0,127.0,172.0,False,341.0,127.0,468.0,2213.0
S,2008.0,2008-09-30,45.0,137.0,182.0,False,328.0,137.0,465.0,2188.0
O,2008.0,2008-10-31,56.0,160.0,216.0,False,300.0,160.0,460.0,2140.0
N,2008.0,2008-11-30,175.0,125.0,300.0,False,343.0,125.0,468.0,2215.0
D,2008.0,2008-12-31,201.0,137.0,338.0,False,328.0,137.0,465.0,2188.0
J,2009.0,2009-01-31,34.0,141.0,175.0,True,323.0,141.0,464.0,2179.0
F,2009.0,2009-02-28,91.0,98.0,189.0,True,377.0,98.0,475.0,2277.0
M,2009.0,2009-03-31,92.0,96.0,188.0,True,380.0,96.0,476.0,2284.0
